date,year,month,day,start,start_hour,end,end_hour,duration_mins,type,,
11.11.2019,2019,11,11,17:35,17,18:10,18,35,TKO_Road_Accident,,
14.11.2019,2019,11,14,07:15,7,08:05,8,50,TKO_Road_Accident,,
21.11.2019,2019,11,21,17:28,17,17:57,17,29,TKO_Road_Accident,,
24.11.2019,2019,11,24,17:32,17,18:10,18,38,TKO_Tunnel_BrokenCar,,
27.11.2019,2019,11,27,07:27,7,07:30,7,3,TKO_Road_BrokenCar,,
27.11.2019,2019,11,27,08:25,8,09:30,9,65,TKO_Road_Accident,,
29.11.2019,2019,11,29,16:46,16,17:30,17,44,TKO_Road_BrokenCar,,
30.11.2019,2019,11,30,17:21,17,19:01,19,100,TKO_Road_Accident,,
03.12.2019,2019,12,3,19:05,19,19:30,19,25,TKO_Road_Accident,,
05.12.2019,2019,12,5,09:05,9,10:20,10,75,TKO_Road_Accident,,
07.12.2019,2019,12,7,13:15,13,14:00,14,45,TKO_Road_BrokenCar,,
08.12.2019,2019,12,8,18:30,18,19:15,19,45,TKO_Road_Accident,,
09.12.2019,2019,12,9,12:50,12,14:05,14,75,TKO_Road_Accident,,
18.12.2019,2019,12,18,08:43,8,09:35,9,52,TKO_Road_Accident,,
18.12.2019,2019,12,18,17:57,17,18:29,18,32,TKO_Road_Accident,,
28.12.2019,2019,12,28,19:05,19,20:25,20,80,TKO_Road_Accident,,
09.01.2020,2020,1,9,17:57,17,18:34,18,37,TKO_Tunnel_Accident,,
20.01.2020,2020,1,20,08:50,8,09:20,9,30,TKO_Road_Accident,,
09.02.2020,2020,2,9,13:17,13,14:15,14,58,TKO_Road_BrokenCar,,
15.02.2020,2020,2,15,09:50,9,10:15,10,25,TKO_Road_Accident,,
17.02.2020,2020,2,17,21:00,21,21:25,21,25,TKO_Road_Accident,,
11.03.2020,2020,3,11,22:37,22,23:25,23,48,TKO_Tunnel_Accident,,
13.03.2020,2020,3,13,18:50,18,19:00,19,10,TKO_Road_Accident,,
17.03.2020,2020,3,17,14:23,14,16:00,16,97,TKO_Road_Accident,,
21.03.2020,2020,3,21,11:10,11,14:25,14,195,TKO_Tunnel_Accident,,
23.03.2020,2020,3,23,18:54,18,19:01,19,7,TKO_Road_Accident,,
24.03.2020,2020,3,24,19:10,19,19:32,19,22,TKO_Road_Accident,,
30.03.2020,2020,3,30,17:20,17,17:30,17,10,TKO_Road_Accident,,
07.04.2020,2020,4,7,09:24,9,10:07,10,43,TKO_Tunnel_Accident,,
08.04.2020,2020,4,8,17:55,17,18:10,18,15,TKO_Road_Accident,,
12.04.2020,2020,4,12,11:42,11,12:00,12,18,TKO_Road_Accident,,
17.04.2020,2020,4,17,08:42,8,09:03,9,21,TKO_Road_Accident,,
22.04.2020,2020,4,22,11:55,11,12:15,12,20,TKO_Tunnel_Accident,,
27.04.2020,2020,4,27,09:38,9,10:14,10,36,TKO_Road_Accident,,
27.04.2020,2020,4,27,17:41,17,17:56,17,15,TKO_Road_BrokenCar,,
29.04.2020,2020,4,29,20:09,20,20:57,20,48,TKO_Road_BrokenCar,,
02.05.2020,2020,5,2,18:26,18,19:01,19,35,TKO_Tunnel_Accident,,
05.05.2020,2020,5,5,16:40,16,16:55,16,15,TKO_Road_Accident,,
05.05.2020,2020,5,5,19:35,19,20:15,20,40,TKO_Road_BrokenCar,,
06.05.2020,2020,5,6,08:20,8,08:58,8,38,TKO_Tunnel_BrokenCar,,
06.05.2020,2020,5,6,17:45,17,17:55,17,10,TKO_Road_BrokenCar,,
09.05.2020,2020,5,9,17:07,17,18:25,18,78,TKO_Road_Accident,,
09.05.2020,2020,5,9,19:00,19,19:09,19,9,TKO_Road_Accident,,
11.05.2020,2020,5,11,08:45,8,09:20,9,35,TKO_Road_BrokenCar,,
11.05.2020,2020,5,11,18:57,18,20:29,20,92,TKO_Road_BrokenCar,,
13.05.2020,2020,5,13,13:22,13,14:09,14,47,TKO_Road_Accident,,
20.05.2020,2020,5,20,08:09,8,10:30,10,141,TKO_Road_Accident,,
23.05.2020,2020,5,23,12:55,12,13:18,13,23,TKO_Road_Accident,,
24.05.2020,2020,5,24,21:57,21,22:07,22,10,TKO_Tunnel_Accident,,
25.05.2020,2020,5,25,09:58,9,11:20,11,82,TKO_Road_Accident,,
26.05.2020,2020,5,26,10:20,10,10:58,10,38,TKO_Road_BrokenCar,,
28.05.2020,2020,5,28,10:00,10,10:50,10,50,TKO_Tunnel_Accident,,
30.05.2020,2020,5,30,18:06,18,18:20,18,14,TKO_Road_Accident,,
01.06.2020,2020,6,1,20:26,20,21:21,21,55,TKO_Road_Accident,,
03.06.2020,2020,6,3,17:59,17,18:55,18,56,TKO_Road_BrokenCar,,
04.06.2020,2020,6,4,07:05,7,07:45,7,40,TKO_Tunnel_Accident,,
06.06.2020,2020,6,6,14:10,14,14:20,14,10,TKO_Tunnel_Accident,,
06.06.2020,2020,6,6,17:03,17,18:32,18,89,TKO_Road_BrokenCar,,
06.06.2020,2020,6,6,20:04,20,21:01,21,57,TKO_Road_Accident,,
08.06.2020,2020,6,8,16:56,16,17:16,17,20,TKO_Road_BrokenCar,,
09.06.2020,2020,6,9,11:49,11,13:00,13,71,TKO_Tunnel_Accident,,
10.06.2020,2020,6,10,10:15,10,10:30,10,15,TKO_Road_Accident,,
11.06.2020,2020,6,11,21:28,21,21:33,21,5,TKO_Road_BrokenCar,,
14.06.2020,2020,6,14,11:40,11,12:36,12,56,TKO_Road_Accident,,
17.06.2020,2020,6,17,08:37,8,09:34,9,57,TKO_Road_Accident,,
22.06.2020,2020,6,22,18:24,18,18:32,18,8,TKO_Tunnel_Accident,,
24.06.2020,2020,6,24,11:30,11,12:00,12,0,TKO_Tunnel_Accident,,
25.06.2020,2020,6,25,13:23,13,14:03,14,40,TKO_Tunnel_Accident,,
03.07.2020,2020,7,3,19:20,19,20:15,20,55,TKO_Road_BrokenCar,,
08.07.2020,2020,7,8,16:07,16,16:30,16,23,TKO_Road_BrokenCar,,
08.07.2020,2020,7,8,19:32,19,19:48,19,16,TKO_Road_BrokenCar,,
14.07.2020,2020,7,14,19:00,19,19:25,19,25,TKO_Tunnel_BrokenCar,,
15.07.2020,2020,7,15,19:55,19,20:20,20,25,TKO_Road_BrokenCar,,
17.07.2020,2020,7,17,10:29,10,11:09,11,40,TKO_Road_Accident,,
17.07.2020,2020,7,17,20:33,20,21:00,21,27,TKO_Road_BrokenCar,,
28.07.2020,2020,7,28,07:42,7,08:25,8,43,TKO_Road_Accident,,
29.07.2020,2020,7,29,16:30,16,16:57,16,27,TKO_Tunnel_BrokenCar,,
30.07.2020,2020,7,30,16:15,16,16:25,16,10,TKO_Road_BrokenCar,,
03.08.2020,2020,8,3,11:27,11,12:41,12,74,TKO_Tunnel_Accident,,
